experiment,noise_std,accuracy,precision,recall,f1,confusion_matrix,roc_auc
noise,0.0,0.9629629629629629,0.95,1.0,0.9743589743589743,"[[7, 1], [0, 19]]",0.9868421052631579
noise,0.05,0.9629629629629629,0.95,1.0,0.9743589743589743,"[[7, 1], [0, 19]]",0.9868421052631579
noise,0.15,0.9259259259259259,0.9473684210526315,0.9473684210526315,0.9473684210526315,"[[7, 1], [1, 18]]",0.9868421052631579
noise,0.3,0.9259259259259259,0.9473684210526315,0.9473684210526315,0.9473684210526315,"[[7, 1], [1, 18]]",0.9868421052631579
