epoch,train_loss,val_loss,train_acc,val_acc
0,0.4156161993741989,0.42219280489420485,0.68359375,0.8644067857225063
1,0.3476514518260956,0.3641918634964248,0.82421875,0.8813559382648791
2,0.3116747662425041,0.30695064946756523,0.82421875,0.8813559382648791
3,0.2882571369409561,0.2620425527378664,0.83984375,0.8813559281623969
4,0.25859541073441505,0.23845184859582932,0.8671875,0.8813559281623969
5,0.24086565896868706,0.22101112796088396,0.9140625,0.8813559281623969
6,0.22485914081335068,0.2076688499773963,0.90234375,0.8813559281623969
7,0.21682411804795265,0.19801776287919384,0.8828125,0.8813559281623969
8,0.21139691583812237,0.18869836451643604,0.88671875,0.8813559281623969
9,0.20591524802148342,0.1810794422181986,0.890625,0.8813559281623969
10,0.18623327277600765,0.17548270599316743,0.90625,0.8813559281623969
11,0.17599251493811607,0.17022462593296828,0.9140625,0.8813559281623969
12,0.16444795578718185,0.1647048415774006,0.93359375,0.8813559281623969
13,0.16020708624273539,0.16091405562425065,0.93359375,0.8983050978789895
14,0.16411853022873402,0.15865161232018876,0.921875,0.8983050978789895
15,0.16008726321160793,0.15273165526026386,0.921875,0.8813559281623969
16,0.16323137190192938,0.14777278293997553,0.91796875,0.8813559281623969
17,0.15132282115519047,0.14454021367986322,0.93359375,0.8813559281623969
18,0.14827979169785976,0.14283993587655536,0.90625,0.8813559281623969
19,0.1494013797491789,0.14537508533162585,0.9296875,0.8813559281623969
20,0.14973343908786774,0.1437932220050844,0.90234375,0.8813559281623969
21,0.14286278188228607,0.14046879794638037,0.9296875,0.8813559281623969
22,0.1314064310863614,0.13408948935694615,0.93359375,0.8813559281623969
23,0.1403478067368269,0.13520840972156847,0.93359375,0.8813559281623969
24,0.13691414520144463,0.13532974027981193,0.93359375,0.8813559281623969
25,0.1282172128558159,0.13541183330244938,0.9453125,0.8813559281623969
26,0.12769714184105396,0.1368663699950202,0.94140625,0.8813559281623969
27,0.11922710482031107,0.13709699274119685,0.95703125,0.8813559281623969
28,0.1335841901600361,0.13934856173345597,0.9296875,0.8813559281623969
29,0.12034955620765686,0.13486556986630974,0.9296875,0.8813559281623969
30,0.12673357781022787,0.13640679242247242,0.9296875,0.8813559281623969
31,0.11469553504139185,0.13399934288808854,0.94140625,0.8813559281623969
32,0.11148784682154655,0.13182925470804763,0.9296875,0.8983050978789895
33,0.12379417102783918,0.13138315536208073,0.92578125,0.8983050978789895
34,0.12798488605767488,0.1282612456608627,0.93359375,0.8983050978789895
35,0.10843962896615267,0.12549906564971147,0.93359375,0.8983050978789895
36,0.1303114090114832,0.12335314614287878,0.92578125,0.8983050978789895
37,0.09542737435549498,0.12480107758004787,0.953125,0.8983050978789895
38,0.09354283520951867,0.12595941176859,0.953125,0.8813559281623969
39,0.09703899128362536,0.12610305896249868,0.953125,0.8813559281623969
40,0.10070038819685578,0.12777123133004722,0.95703125,0.8813559281623969
41,0.09853443875908852,0.12912323944649454,0.93359375,0.8813559281623969
42,0.09195729810744524,0.12670455620450488,0.9453125,0.8813559281623969
43,0.08892752230167389,0.13002633467569188,0.953125,0.8813559281623969
44,0.09398734103888273,0.1281186953439551,0.95703125,0.8813559281623969
45,0.12421589996665716,0.1321316995358063,0.921875,0.8813559281623969
46,0.08598983753472567,0.12496825193954726,0.953125,0.8813559281623969
47,0.09069399302825332,0.12336142335907888,0.95703125,0.8813559281623969
48,0.11029127892106771,0.12376173143669711,0.92578125,0.8813559281623969
