experiment,model,threshold,accuracy,precision,recall,f1,confusion_matrix,roc_auc
model_compare,logistic_regression,0.4099999999999999,0.8,0.8043478260869565,0.925,0.8604651162790697,"[[11, 9], [3, 37]]",0.92625
model_compare,mlp,0.09999999999999999,0.8,0.7916666666666666,0.95,0.8636363636363636,"[[10, 10], [2, 38]]",0.9362500000000001
model_compare,ems_classifier,0.10999999999999999,0.8833333333333333,0.8666666666666667,0.975,0.9176470588235294,"[[14, 6], [1, 39]]",0.97
